ben	hin	florestest2021				datasets/statmt/wmt21-news-systems/txt/sources/florestest2021.bn-hi.src.bn	datasets/statmt/wmt21-news-systems/txt/references/florestest2021.bn-hi.ref.A.hi	
hin	ben	florestest2021				datasets/statmt/wmt21-news-systems/txt/sources/florestest2021.hi-bn.src.hi	datasets/statmt/wmt21-news-systems/txt/references/florestest2021.hi-bn.ref.A.bn	
xho	zul	florestest2021				datasets/statmt/wmt21-news-systems/txt/sources/florestest2021.xh-zu.src.xh	datasets/statmt/wmt21-news-systems/txt/references/florestest2021.xh-zu.ref.A.zu	
zul	xho	florestest2021				datasets/statmt/wmt21-news-systems/txt/sources/florestest2021.zu-xh.src.zu	datasets/statmt/wmt21-news-systems/txt/references/florestest2021.zu-xh.ref.A.xh	
ces	eng	newstest2021				datasets/statmt/wmt21-news-systems/txt/sources/newstest2021.cs-en.src.cs	datasets/statmt/wmt21-news-systems/txt/references/newstest2021.cs-en.ref.A.en	datasets/statmt/wmt21-news-systems/txt/references/newstest2021.cs-en.ref.B.en	
deu	eng	newstest2021				datasets/statmt/wmt21-news-systems/txt/sources/newstest2021.de-en.src.de	datasets/statmt/wmt21-news-systems/txt/references/newstest2021.de-en.ref.A.en	datasets/statmt/wmt21-news-systems/txt/references/newstest2021.de-en.ref.B.en	
deu	fra	newstest2021				datasets/statmt/wmt21-news-systems/txt/sources/newstest2021.de-fr.src.de	datasets/statmt/wmt21-news-systems/txt/references/newstest2021.de-fr.ref.A.fr	
eng	ces	newstest2021				datasets/statmt/wmt21-news-systems/txt/sources/newstest2021.en-cs.src.en	datasets/statmt/wmt21-news-systems/txt/references/newstest2021.en-cs.ref.A.cs	datasets/statmt/wmt21-news-systems/txt/references/newstest2021.en-cs.ref.B.cs	
eng	deu	newstest2021				datasets/statmt/wmt21-news-systems/txt/sources/newstest2021.en-de.src.en	datasets/statmt/wmt21-news-systems/txt/references/newstest2021.en-de.ref.A.de	datasets/statmt/wmt21-news-systems/txt/references/newstest2021.en-de.ref.C.de	datasets/statmt/wmt21-news-systems/txt/references/newstest2021.en-de.ref.D.de	
eng	hau	newstest2021				datasets/statmt/wmt21-news-systems/txt/sources/newstest2021.en-ha.src.en	datasets/statmt/wmt21-news-systems/txt/references/newstest2021.en-ha.ref.A.ha	
eng	isl	newstest2021				datasets/statmt/wmt21-news-systems/txt/sources/newstest2021.en-is.src.en	datasets/statmt/wmt21-news-systems/txt/references/newstest2021.en-is.ref.A.is	
eng	jpn	newstest2021				datasets/statmt/wmt21-news-systems/txt/sources/newstest2021.en-ja.src.en	datasets/statmt/wmt21-news-systems/txt/references/newstest2021.en-ja.ref.A.ja	
eng	rus	newstest2021				datasets/statmt/wmt21-news-systems/txt/sources/newstest2021.en-ru.src.en	datasets/statmt/wmt21-news-systems/txt/references/newstest2021.en-ru.ref.A.ru	datasets/statmt/wmt21-news-systems/txt/references/newstest2021.en-ru.ref.B.ru	
eng	zho	newstest2021				datasets/statmt/wmt21-news-systems/txt/sources/newstest2021.en-zh.src.en	datasets/statmt/wmt21-news-systems/txt/references/newstest2021.en-zh.ref.A.zh	datasets/statmt/wmt21-news-systems/txt/references/newstest2021.en-zh.ref.B.zh	
fra	deu	newstest2021				datasets/statmt/wmt21-news-systems/txt/sources/newstest2021.fr-de.src.fr	datasets/statmt/wmt21-news-systems/txt/references/newstest2021.fr-de.ref.A.de	
hau	eng	newstest2021				datasets/statmt/wmt21-news-systems/txt/sources/newstest2021.ha-en.src.ha	datasets/statmt/wmt21-news-systems/txt/references/newstest2021.ha-en.ref.A.en	
isl	eng	newstest2021				datasets/statmt/wmt21-news-systems/txt/sources/newstest2021.is-en.src.is	datasets/statmt/wmt21-news-systems/txt/references/newstest2021.is-en.ref.A.en	
jpn	eng	newstest2021				datasets/statmt/wmt21-news-systems/txt/sources/newstest2021.ja-en.src.ja	datasets/statmt/wmt21-news-systems/txt/references/newstest2021.ja-en.ref.A.en	
rus	eng	newstest2021				datasets/statmt/wmt21-news-systems/txt/sources/newstest2021.ru-en.src.ru	datasets/statmt/wmt21-news-systems/txt/references/newstest2021.ru-en.ref.A.en	datasets/statmt/wmt21-news-systems/txt/references/newstest2021.ru-en.ref.B.en	
zho	eng	newstest2021				datasets/statmt/wmt21-news-systems/txt/sources/newstest2021.zh-en.src.zh	datasets/statmt/wmt21-news-systems/txt/references/newstest2021.zh-en.ref.A.en	
